scope,tactic,rule_total,rule_with_commandline,rule_with_executable_success,rule_with_behavior,rule_with_bypass_target_rule,rule_with_bypass_all_rule
overall,ALL,781,781,574,228,346,269
tactic,Collection,24,24,17,4,6,5
tactic,Reconnaissance,4,4,3,1,2,1
tactic,Resource Development,6,6,3,2,2,2
tactic,Initial Access,9,9,4,1,3,3
tactic,Execution,223,223,181,81,133,94
tactic,Persistence,66,66,54,18,30,22
tactic,Privilege Escalation,49,49,35,11,20,15
tactic,Defense Evasion,368,366,276,113,166,132
tactic,Discovery,79,79,59,29,36,32
tactic,Lateral Movement,27,27,19,6,11,7
tactic,Command and Control,66,66,35,13,19,15
tactic,Credential Access,89,89,49,16,22,19
tactic,Exfiltration,13,13,9,4,5,4
tactic,Impact,16,16,13,6,9,6
