tactic,rule_name,title,rule_id,status,level,path,tags,techniques
collection,proc_creation_win_7zip_exfil_dmp_files,7Zip Compressing Dump Files,ec570e53-4c76-45a9-804d-dc3f355ff7a7,test,medium,rules/proc_creation_win_7zip_exfil_dmp_files.yml,attack.collection; attack.t1560.001,attack.t1560.001
collection,proc_creation_win_7zip_password_compression,Compress Data and Lock With Password for Exfiltration With 7-ZIP,9fbf5927-5261-4284-a71d-f681029ea574,test,medium,rules/proc_creation_win_7zip_password_compression.yml,attack.collection; attack.t1560.001,attack.t1560.001
collection,proc_creation_win_browsers_chromium_headless_debugging,Potential Data Stealing Via Chromium Headless Debugging,3e8207c5-fcd2-4ea6-9418-15d45b4890e4,test,high,rules/proc_creation_win_browsers_chromium_headless_debugging.yml,attack.collection; attack.credential-access; attack.t1185; attack.t1564.003,attack.t1185; attack.t1564.003
collection,proc_creation_win_browsers_remote_debugging,Browser Started with Remote Debugging,b3d34dc5-2efd-4ae3-845f-8ec14921f449,test,medium,rules/proc_creation_win_browsers_remote_debugging.yml,attack.collection; attack.credential-access; attack.t1185,attack.t1185
collection,proc_creation_win_esentutl_webcache,Esentutl Steals Browser Information,6a69f62d-ce75-4b57-8dce-6351eb55b362,test,medium,rules/proc_creation_win_esentutl_webcache.yml,attack.collection; attack.t1005,attack.t1005
collection,proc_creation_win_net_user_default_accounts_manipulation,Suspicious Manipulation Of Default Accounts Via Net.EXE,5b768e71-86f2-4879-b448-81061cbae951,test,high,rules/proc_creation_win_net_user_default_accounts_manipulation.yml,attack.collection; attack.t1560.001,attack.t1560.001
collection,proc_creation_win_powershell_audio_capture,Audio Capture via PowerShell,932fb0d8-692b-4b0f-a26e-5643a50fe7d6,test,medium,rules/proc_creation_win_powershell_audio_capture.yml,attack.collection; attack.t1123,attack.t1123
collection,proc_creation_win_powershell_get_clipboard,PowerShell Get-Clipboard Cmdlet Via CLI,b9aeac14-2ffd-4ad3-b967-1354a4e628c3,test,medium,rules/proc_creation_win_powershell_get_clipboard.yml,attack.collection; attack.t1115,attack.t1115
collection,proc_creation_win_powershell_snapins_hafnium,Exchange PowerShell Snap-Ins Usage,25676e10-2121-446e-80a4-71ff8506af47,test,high,rules/proc_creation_win_powershell_snapins_hafnium.yml,attack.collection; attack.execution; attack.t1059.001; attack.t1114,attack.t1059.001; attack.t1114
collection,proc_creation_win_powershell_zip_compress,Folder Compress To Potentially Suspicious Output Via Compress-Archive Cmdlet,85a8e5ba-bd03-4bfb-bbfa-a4409a8f8b98,test,medium,rules/proc_creation_win_powershell_zip_compress.yml,attack.collection; attack.t1074.001,attack.t1074.001
