Phạm vi / Tactic,Tổng command-line,Thực thi thành công,Tỷ lệ thực thi,Bypass target rule,Bypass target / total,Bypass target / success,Bypass all rule,Bypass all / total,Bypass all / success
ALL,4385,2942,0.6709236031927024,1626,0.37080957810718357,0.5526852481305234,1184,0.2700114025085519,0.40244731475186946
Collection,138,79,0.572463768115942,10,0.07246376811594203,0.12658227848101267,8,0.057971014492753624,0.10126582278481013
Reconnaissance,24,17,0.7083333333333334,7,0.2916666666666667,0.4117647058823529,2,0.08333333333333333,0.11764705882352941
Resource Development,39,14,0.358974358974359,5,0.1282051282051282,0.35714285714285715,5,0.1282051282051282,0.35714285714285715
Initial Access,54,24,0.4444444444444444,15,0.2777777777777778,0.625,5,0.09259259259259259,0.20833333333333334
Execution,1315,915,0.6958174904942965,568,0.43193916349809885,0.6207650273224044,379,0.28821292775665397,0.41420765027322404
Persistence,330,222,0.6727272727272727,88,0.26666666666666666,0.3963963963963964,49,0.1484848484848485,0.22072072072072071
Privilege Escalation,258,151,0.5852713178294574,70,0.2713178294573643,0.46357615894039733,48,0.18604651162790697,0.31788079470198677
Defense Evasion,2051,1410,0.6874695270599708,639,0.31155533885909314,0.4531914893617021,478,0.23305704534373475,0.33900709219858155
Discovery,534,343,0.6423220973782772,156,0.29213483146067415,0.45481049562682213,118,0.2209737827715356,0.34402332361516036
Lateral Movement,165,89,0.5393939393939394,37,0.22424242424242424,0.4157303370786517,29,0.17575757575757575,0.3258426966292135
Command and Control,398,192,0.4824120603015075,90,0.22613065326633167,0.46875,66,0.1658291457286432,0.34375
Credential Access,520,237,0.45576923076923076,87,0.1673076923076923,0.3670886075949367,69,0.1326923076923077,0.2911392405063291
Exfiltration,87,52,0.5977011494252874,33,0.3793103448275862,0.6346153846153846,26,0.2988505747126437,0.5
Impact,104,71,0.6826923076923077,28,0.2692307692307692,0.39436619718309857,23,0.22115384615384615,0.323943661971831
