Phạm vi / Tactic,Tổng rule,Rule có command-line,Tỷ lệ,Rule có command-line thực thi thành công,Tỷ lệ thực thi thành công,Rule có bypass target,Tỷ lệ bypass target,Rule có bypass all,Tỷ lệ bypass all
ALL,781,781,1.0,574,0.734955185659411,350,0.44814340588988477,274,0.3508322663252241
Collection,24,24,1.0,17,0.7083333333333334,6,0.25,5,0.20833333333333334
Reconnaissance,4,4,1.0,3,0.75,2,0.5,1,0.25
Resource Development,6,6,1.0,3,0.5,2,0.3333333333333333,2,0.3333333333333333
Initial Access,9,9,1.0,4,0.4444444444444444,3,0.3333333333333333,3,0.3333333333333333
Execution,223,223,1.0,181,0.8116591928251121,134,0.600896860986547,96,0.4304932735426009
Persistence,66,66,1.0,54,0.8181818181818182,30,0.45454545454545453,22,0.3333333333333333
Privilege Escalation,49,49,1.0,35,0.7142857142857143,20,0.40816326530612246,15,0.30612244897959184
Defense Evasion,368,366,0.9945652173913043,276,0.75,168,0.45652173913043476,135,0.36684782608695654
Discovery,79,79,1.0,59,0.7468354430379747,38,0.4810126582278481,34,0.43037974683544306
Lateral Movement,27,27,1.0,19,0.7037037037037037,11,0.4074074074074074,7,0.25925925925925924
Command and Control,66,66,1.0,35,0.5303030303030303,19,0.2878787878787879,15,0.22727272727272727
Credential Access,89,89,1.0,49,0.550561797752809,22,0.24719101123595505,19,0.21348314606741572
Exfiltration,13,13,1.0,9,0.6923076923076923,5,0.38461538461538464,4,0.3076923076923077
Impact,16,16,1.0,13,0.8125,9,0.5625,6,0.375
