Phạm vi / Tactic,Tổng command-line,Thực thi thành công,Tỷ lệ thực thi,Bypass target rule,Bypass target / total,Bypass target / success,Bypass all rule,Bypass all / total,Bypass all / success
ALL,2430,1498,0.6164609053497943,781,0.3213991769547325,0.5213618157543392,541,0.22263374485596707,0.36114819759679573
Collection,75,46,0.6133333333333333,21,0.28,0.45652173913043476,17,0.22666666666666666,0.3695652173913043
Reconnaissance,15,13,0.8666666666666667,5,0.3333333333333333,0.38461538461538464,2,0.13333333333333333,0.15384615384615385
Resource Development,18,6,0.3333333333333333,1,0.05555555555555555,0.16666666666666666,1,0.05555555555555555,0.16666666666666666
Initial Access,39,19,0.48717948717948717,11,0.28205128205128205,0.5789473684210527,10,0.2564102564102564,0.5263157894736842
Execution,735,466,0.6340136054421769,267,0.363265306122449,0.572961373390558,182,0.24761904761904763,0.3905579399141631
Persistence,232,158,0.6810344827586207,71,0.30603448275862066,0.44936708860759494,28,0.1206896551724138,0.17721518987341772
Privilege Escalation,176,122,0.6931818181818182,67,0.3806818181818182,0.5491803278688525,37,0.21022727272727273,0.30327868852459017
Defense Evasion,1172,746,0.636518771331058,396,0.3378839590443686,0.5308310991957105,250,0.21331058020477817,0.3351206434316354
Discovery,244,159,0.6516393442622951,53,0.21721311475409835,0.3333333333333333,47,0.19262295081967212,0.29559748427672955
Lateral Movement,81,55,0.6790123456790124,31,0.38271604938271603,0.5636363636363636,21,0.25925925925925924,0.38181818181818183
Command and Control,201,97,0.48258706467661694,54,0.26865671641791045,0.5567010309278351,39,0.19402985074626866,0.4020618556701031
Credential Access,270,147,0.5444444444444444,57,0.2111111111111111,0.3877551020408163,44,0.16296296296296298,0.29931972789115646
Exfiltration,48,29,0.6041666666666666,17,0.3541666666666667,0.5862068965517241,14,0.2916666666666667,0.4827586206896552
Impact,51,38,0.7450980392156863,13,0.2549019607843137,0.34210526315789475,11,0.21568627450980393,0.2894736842105263
