Phạm vi / Tactic,Tổng rule,Rule có command-line,Tỷ lệ,Rule có command-line thực thi thành công,Tỷ lệ thực thi thành công,Rule có bypass target,Tỷ lệ bypass target,Rule có bypass all,Tỷ lệ bypass all
ALL,852,852,1.0,580,0.6807511737089202,342,0.4014084507042254,257,0.30164319248826293
Collection,26,26,1.0,18,0.6923076923076923,8,0.3076923076923077,6,0.23076923076923078
Reconnaissance,5,5,1.0,5,1.0,2,0.4,1,0.2
Resource Development,6,6,1.0,2,0.3333333333333333,1,0.16666666666666666,1,0.16666666666666666
Initial Access,13,13,1.0,7,0.5384615384615384,5,0.38461538461538464,4,0.3076923076923077
Execution,248,248,1.0,177,0.7137096774193549,112,0.45161290322580644,84,0.3387096774193548
Persistence,78,78,1.0,56,0.717948717948718,28,0.358974358974359,12,0.15384615384615385
Privilege Escalation,59,59,1.0,45,0.7627118644067796,28,0.4745762711864407,17,0.288135593220339
Defense Evasion,396,396,1.0,275,0.6944444444444444,169,0.42676767676767674,119,0.3005050505050505
Discovery,82,82,1.0,60,0.7317073170731707,22,0.2682926829268293,20,0.24390243902439024
Lateral Movement,27,27,1.0,20,0.7407407407407407,13,0.48148148148148145,8,0.2962962962962963
Command and Control,67,67,1.0,33,0.4925373134328358,22,0.3283582089552239,18,0.26865671641791045
Credential Access,91,91,1.0,52,0.5714285714285714,23,0.25274725274725274,20,0.21978021978021978
Exfiltration,16,16,1.0,10,0.625,6,0.375,5,0.3125
Impact,17,17,1.0,14,0.8235294117647058,7,0.4117647058823529,6,0.35294117647058826
