Rule_name	Title	Rule_id	Command_match_rule
proc_creation_win_git_susp_clone	Suspicious Git Clone	aef9d1f1-7396-4e92-a927-4567c7a495c1	git.exe clone https://example.com/repositories/Vulns-Check
			
proc_creation_win_pua_pingcastle	PUA - PingCastle Execution	b1cb4ab6-ac31-43f4-adf1-d9d08957419c	C:\Tools\PingCastle.exe --scanner aclcheck
proc_creation_win_pua_pingcastle_script_parent	PUA - PingCastle Execution From Potentially Suspicious Parent	b37998de-a70b-4f33-b219-ec36bf433dc0	C:\Tools\PingCastle.exe --healthcheck --level Full

proc_creation_win_sysinternals_psexec_paexec_escalate_system	PsExec/PAExec Escalation to LOCAL SYSTEM	8834e2f7-6b4b-4f09-8906-d2276470ee23	"C:\Users\Public\Temp\PsExec.exe" -i -s cmd -accepteula
proc_creation_win_sysinternals_psexec_remote_execution	Potential PsExec Remote Execution	ea011323-7045-460b-b2d7-0f7442ea6b38	"C:\Users\Public\Temp\PsExec.exe" \TEST-HOST -u testuser -p testpassword -accepteula whoami
proc_creation_win_sysinternals_susp_psexec_paexec_flags	Potential Privilege Escalation To LOCAL SYSTEM	207b0396-3689-42d9-8399-4222658efc99	C:\Tools\RemoteExecHelper.exe -s cmd /c whoami
			
proc_creation_win_sysinternals_eula_accepted	Potential Execution of Sysinternals Tools	7cccd811-7ae9-4ebe-9afd-cb5c406b824b	"powershell.exe" & {cmd.exe /c \""wmic csproduct get UUID\"" cmd.exe /c \""fsutil behavior set SymlinkEvaluation R2L:1\"" cmd.exe /c \""fsutil behavior set SymlinkEvaluation R2R:1\"" reg add HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters /v MaxMpxCt /d 65535 /t REG_DWORD /f copy \""C:\AtomicRedTeam\atomics\..\ExternalPayloads\PsExec.exe\"" $env:temp cmd.exe /c \""$env:temp\psexec.exe -accepteula \\$ENV:COMPUTERNAME cmd.exe /c echo \""--access-token\""\""}
			
